"TIMESTAMP","RECORD","Global_Horizontal_Irradiance_Avg","Global_Horizontal_Irradiance_Max","Global_Horizontal_Irradiance_Min","Global_Horizontal_Irradiance_Std","Global_Normal_Irradiance_Avg","Global_Normal_Irradiance_Max","Global_Normal_Irradiance_Min","Global_Normal_Irradiance_Std","Direct_Normal_Irradiance_Avg","Direct_Normal_Irradiance_Max","Direct_Normal_Irradiance_Min","Direct_Normal_Irradiance_Std"
"2020-02-12 15:31:00",0,1.525168,1.543,1.508,0.009,0.3310191,0.352,0.31,0.012,0.03787483,0.067,0.021,0.009
"2020-02-12 15:32:00",1,1.505417,1.579,1.413,0.019,0.3035116,0.349,0.174,0.034,0.04967764,0.111,0,0.02
"2020-02-12 15:33:00",2,1.493889,1.518,1.483,0.008,0.3066555,0.334,0.266,0.014,0.07781062,0.102,0.057,0.01
"2020-02-12 15:35:00",3,1.454492,1.469,1.442,0.006,0.2799817,0.362,0.15,0.025,0.0830286,0.123,0.063,0.011
"2020-02-12 15:36:00",4,1.444971,1.477,1.428,0.008,0.2632794,0.3,0.083,0.036,0.08702588,0.117,0.018,0.015
"2020-02-12 15:37:00",5,1.433283,1.469,1.414,0.011,0.2647664,0.603,0.231,0.046,0.1141101,0.143,0.082,0.012
"2020-02-12 15:38:00",6,1.419328,1.448,1.399,0.008,0.261708,0.294,0.229,0.016,0.1032242,0.117,0.085,0.008
"2020-02-12 15:39:00",7,1.407307,1.434,1.393,0.009,0.2508664,0.278,0.223,0.013,0.101012,0.126,0.08,0.01
"2020-02-12 15:45:00",8,1.422168,1.431,1.401,0.006,0.2659382,0.277,0.251,0.008,0.08405144,0.112,0.062,0.011
"2020-02-12 15:49:00",9,0.7054897,1.153,0.439,0.196,0.2388369,0.277,0.205,0.019,0.07743929,0.166,-0.01,0.026
"2020-02-12 15:50:00",10,0.4706098,0.553,0.386,0.047,0.2336757,0.263,0.205,0.015,0.1275809,0.192,0.065,0.032
"2020-02-12 15:51:00",11,0.5689855,0.596,0.543,0.015,0.259802,0.291,0.232,0.015,0.1933943,0.257,0.139,0.026
"2020-02-12 15:52:00",12,0.5244465,0.585,0.491,0.019,0.2621311,0.316,0.213,0.025,0.2409897,0.291,0.161,0.024
"2020-02-12 15:53:00",13,0.6675392,0.794,0.497,0.097,0.2622209,0.316,0.212,0.031,0.2578081,0.315,0.214,0.02
"2020-02-12 15:54:00",14,0.6612734,0.8,0.585,0.064,0.2835226,0.312,0.249,0.014,0.2696965,0.323,0.209,0.024
"2020-02-12 15:55:00",15,0.5671273,0.611,0.527,0.02,0.2794689,0.305,0.25,0.014,0.2981616,0.377,0.226,0.023
"2020-02-12 15:56:00",16,0.5914789,0.623,0.555,0.019,0.2752959,0.301,0.24,0.015,0.304816,0.362,0.222,0.021
"2020-02-12 15:57:00",17,0.5557146,0.607,0.508,0.028,0.2533655,0.316,0.227,0.017,0.3184533,0.371,0.24,0.023
"2020-02-12 15:58:00",18,0.4699272,0.543,0.404,0.034,0.2210516,0.254,0.183,0.019,0.2979382,0.348,0.255,0.018
"2020-02-12 15:59:00",19,0.3876308,0.435,0.333,0.028,0.2291374,0.257,0.178,0.017,0.2999515,0.355,0.242,0.022
"2020-02-12 16:00:00",20,0.403101,0.486,0.368,0.03,0.2029476,0.25,0.167,0.019,0.3014425,0.383,0.236,0.021
"2020-02-12 16:01:00",21,0.3953507,0.491,0.295,0.063,0.175871,0.226,0.135,0.025,0.3135926,0.368,0.221,0.024
"2020-02-12 16:02:00",22,0.2527083,0.314,0.219,0.018,0.1282808,0.178,0.059,0.027,0.3249214,0.377,0.244,0.024
"2020-02-12 16:03:00",23,0.2770474,0.329,0.229,0.033,0.1226068,0.173,0.064,0.029,0.3315178,0.397,0.225,0.026
"2020-02-12 16:04:00",24,0.4455823,0.601,0.312,0.087,0.1583918,0.203,0.09,0.026,0.3208706,0.383,0.259,0.021
"2020-02-12 16:05:00",25,0.7037213,0.826,0.612,0.062,0.191081,0.222,0.135,0.021,0.3071755,0.356,0.238,0.021
"2020-02-12 16:06:00",26,0.9356844,0.991,0.841,0.039,0.2069171,0.237,0.164,0.016,0.3055507,0.353,0.263,0.018
"2020-02-12 16:07:00",27,0.995185,1.071,0.642,0.054,0.217869,0.799,0.081,0.09,0.3029583,0.382,0.249,0.024
"2020-02-12 16:08:00",28,1.233468,1.332,1.081,0.078,0.2512797,0.284,0.219,0.018,0.2712601,0.334,0.212,0.022
"2020-02-12 16:09:00",29,1.379691,1.433,1.325,0.027,0.2574082,0.29,0.219,0.016,0.2598543,0.32,0.196,0.023
"2020-02-12 16:10:00",30,1.425079,1.466,1.38,0.031,0.255256,0.284,0.232,0.011,0.2483936,0.303,0.204,0.021
"2020-02-12 16:11:00",31,1.410257,1.476,1.381,0.018,0.2500011,0.308,0.178,0.029,0.2329277,0.301,0.192,0.02
"2020-02-12 16:12:00",32,1.439574,1.505,1.389,0.032,0.2666837,0.355,0.213,0.025,0.2174346,0.295,0.149,0.027
"2020-02-12 16:13:00",33,1.542632,1.583,1.505,0.016,0.2697908,0.318,0.209,0.024,0.2131183,0.266,0.124,0.026
"2020-02-12 16:14:00",34,1.536965,1.578,1.491,0.023,0.2395021,0.305,0.191,0.028,0.2095561,0.253,0.16,0.022
"2020-02-12 16:15:00",35,1.630825,1.683,1.533,0.04,0.2561671,0.298,0.205,0.024,0.186462,0.269,0.13,0.022
"2020-02-12 16:16:00",36,1.661211,1.705,1.622,0.026,0.2638175,0.331,0.186,0.037,0.1868776,0.228,0.139,0.018
"2020-02-12 16:17:00",37,1.653152,1.696,1.6,0.027,0.282181,0.323,0.213,0.029,0.1653354,0.224,0.101,0.02
"2020-02-12 16:18:00",38,1.675627,1.706,1.627,0.018,0.2832783,0.308,0.26,0.012,0.1733421,0.232,0.117,0.022
"2020-02-12 16:19:00",39,1.560584,1.64,1.492,0.038,0.2504474,0.299,-0.077,0.05,0.1788764,0.23,0.114,0.023
"2020-02-12 16:20:00",40,1.360897,1.963,1.211,0.11,0.2119982,0.352,0.141,0.03,0.1716097,0.242,0.119,0.021
"2020-02-12 16:21:00",41,1.105482,1.222,1.042,0.04,0.199736,0.251,0.155,0.023,0.1742993,0.227,0.127,0.023
"2020-02-12 16:25:00",42,1.041296,1.169,0.936,0.071,0.160941,0.21,0.134,0.019,-0.03937297,-0.011,-0.076,0.014
"2020-02-12 16:26:00",43,0.9764435,1.014,0.942,0.019,0.1907914,0.225,0.156,0.018,0.001169368,0.071,-0.042,0.023
"2020-02-12 16:27:00",44,1.042678,1.158,0.972,0.05,0.1929188,0.234,0.16,0.017,0.0604078,0.143,-0.001,0.03
"2020-02-12 16:28:00",45,1.214739,1.278,1.167,0.029,0.2007014,0.23,0.174,0.012,0.09664746,0.135,0.065,0.015
"2020-02-12 16:29:00",46,1.349785,1.394,1.29,0.025,0.2105156,0.249,0.181,0.013,0.1066781,0.199,0.041,0.027
"2020-02-12 16:30:00",47,1.469415,1.628,1.354,0.083,0.2370283,0.278,0.208,0.017,0.1185951,0.17,0.076,0.018
"2020-02-12 16:31:00",48,1.73945,1.818,1.62,0.061,0.271843,0.298,0.235,0.013,0.1014132,0.19,0.021,0.035
"2020-02-12 16:32:00",49,1.801565,1.848,1.757,0.023,0.2729497,0.32,0.208,0.018,0.1341432,0.241,0.043,0.042
"2020-02-12 16:33:00",50,1.7244,1.811,1.639,0.057,0.2436072,0.3,0.156,0.042,0.1141501,0.211,0.044,0.028
"2020-02-12 16:34:00",51,1.689417,1.739,1.639,0.026,0.2816528,0.34,0.231,0.026,0.1103152,0.183,0.014,0.032
"2020-02-12 16:35:00",52,1.7237,1.755,1.697,0.017,0.2767984,0.313,0.208,0.021,0.1339803,0.253,0.008,0.048
"2020-02-12 16:36:00",53,1.770071,1.829,1.725,0.023,0.2843866,0.357,0.234,0.022,0.1145418,0.201,-0.021,0.038
"2020-02-12 16:37:00",54,1.88646,1.92,1.814,0.026,0.285061,0.315,0.256,0.014,0.0923408,0.21,-0.042,0.038
"2020-02-12 16:38:00",55,1.875173,1.915,1.818,0.025,0.2510728,0.292,0.214,0.021,0.08334605,0.136,0.035,0.02
"2020-02-12 16:39:00",56,1.789054,1.803,1.766,0.009,0.2915293,0.302,0.274,0.008,0.07560541,0.122,0.031,0.018
"2020-02-12 16:40:00",57,1.755121,1.814,1.656,0.039,0.2790859,0.312,0.206,0.025,0.08410773,0.188,0.014,0.026
"2020-02-12 16:41:00",58,1.471732,1.664,1.241,0.121,0.2432158,0.274,0.213,0.014,0.1196592,0.192,0.033,0.03
"2020-02-12 16:42:00",59,1.072977,1.266,0.875,0.108,0.1982039,0.725,-0.224,0.121,0.121029,0.236,0.027,0.03
"2020-02-12 16:43:00",60,0.8148518,0.887,0.698,0.061,0.118287,0.594,-0.926,0.162,0.1577795,0.223,0.107,0.021
"2020-02-12 16:44:00",61,0.5662463,0.719,0.469,0.081,0.0790931,0.112,0.019,0.015,0.1776587,0.243,0.092,0.027
"2020-02-12 16:45:00",62,0.4886588,0.544,0.356,0.026,0.1073365,0.207,0.008,0.059,0.1574375,0.201,0.095,0.024
"2020-02-12 16:46:00",63,0.4791967,0.527,0.43,0.028,0.09249157,0.119,0.048,0.019,0.168525,0.232,0.117,0.02
"2020-02-12 16:47:00",64,0.5285016,0.595,0.453,0.038,0.1254531,0.195,0.063,0.036,0.1663975,0.206,0.079,0.023
"2020-02-12 16:48:00",65,0.6108672,0.647,0.569,0.017,0.1140485,0.197,0.019,0.05,0.1774479,0.25,0.14,0.018
"2020-02-12 16:49:00",66,0.6539048,0.703,0.602,0.028,0.1068834,0.185,0.01,0.049,0.1636542,0.233,0.104,0.022
"2020-02-12 16:50:00",67,0.8034345,0.944,0.701,0.076,0.1543058,0.202,0.116,0.022,0.1684978,0.23,0.134,0.016
"2020-02-12 16:51:00",68,1.085842,1.205,0.957,0.074,0.1933579,0.227,0.144,0.021,0.1509801,0.21,0.096,0.02
"2020-02-12 16:52:00",69,1.370316,1.517,1.206,0.097,0.1737905,0.22,0.137,0.021,0.1394863,0.184,0.093,0.018
"2020-02-12 16:53:00",70,1.68961,1.838,1.531,0.095,0.2579605,0.313,0.195,0.027,0.1254639,0.201,0.085,0.02
"2020-02-12 16:54:00",71,1.949908,2.058,1.834,0.059,0.2746535,0.327,0.224,0.023,0.1017784,0.154,0.046,0.018
"2020-02-12 16:55:00",72,2.18276,2.282,2.062,0.061,0.2818034,0.331,0.242,0.024,0.07261731,0.148,0.012,0.023
"2020-02-12 16:56:00",73,2.321866,2.371,2.27,0.026,0.3054365,0.337,0.253,0.024,0.05756111,0.15,-0.004,0.026
"2020-02-12 16:57:00",74,2.415941,2.486,2.371,0.031,0.3379096,0.369,0.319,0.011,0.04196507,0.093,-0.011,0.021
"2020-02-12 16:58:00",75,2.467734,2.474,2.464,0.004,0.3422455,0.347,0.336,0.005,0.003749044,0.006,0,0.003
"2020-02-12 16:59:00",76,2.441837,2.488,2.418,0.02,0.3439068,0.378,0.297,0.022,-0.002601172,0.12,-0.067,0.026
"2020-02-12 17:00:00",77,2.41503,2.441,2.39,0.016,0.3761906,0.406,0.355,0.014,-0.009921058,0.034,-0.093,0.027
"2020-02-12 17:01:00",78,2.355446,2.442,2.305,0.031,0.3666023,0.392,0.324,0.017,-0.01535244,0.015,-0.093,0.017
"2020-02-12 17:02:00",79,2.309387,2.363,2.271,0.018,0.3512938,0.381,0.322,0.014,-0.03454114,0.057,-0.112,0.028
"2020-02-12 17:03:00",80,2.211286,2.283,2.161,0.027,0.365011,0.407,0.336,0.017,-0.05308462,0.038,-0.108,0.026
"2020-02-12 17:04:00",81,1.902367,1.964,1.839,0.037,0.3306567,0.354,0.313,0.01,-0.02710616,0.055,-0.055,0.024
"2020-02-12 17:05:00",82,1.683468,1.853,1.522,0.097,0.3096462,0.35,0.284,0.016,-0.002420221,0.057,-0.039,0.02
"2020-02-12 17:06:00",83,1.368666,1.554,1.251,0.088,0.2646491,0.316,0.216,0.029,0.01997155,0.158,-0.07,0.034
"2020-02-12 17:07:00",84,1.192024,1.281,1.131,0.035,0.2728932,0.32,0.24,0.021,0.04008828,0.204,-0.096,0.039
"2020-02-12 17:08:00",85,1.053832,1.153,0.942,0.057,0.278207,0.318,0.233,0.027,0.04824436,0.148,-0.017,0.025
"2020-02-12 17:09:00",86,0.8265871,0.967,0.731,0.066,0.2312155,0.287,0.18,0.02,0.06318188,0.132,0.013,0.025
"2020-02-12 17:10:00",87,0.7184418,0.749,0.701,0.01,0.2119856,0.258,0.162,0.023,0.07597795,0.148,0.016,0.022
"2020-02-12 17:11:00",88,0.6866904,0.738,0.658,0.016,0.1519452,0.191,0.129,0.018,0.08015259,0.138,-0.015,0.027
"2020-02-12 17:12:00",89,0.6529834,0.698,0.616,0.019,0.1701449,0.227,0.112,0.032,0.07559027,0.149,0.017,0.024
"2020-02-12 17:13:00",90,0.7252424,0.82,0.66,0.041,0.214137,0.246,0.149,0.028,0.09174234,0.144,0.04,0.02
"2020-02-12 17:14:00",91,0.9015048,0.991,0.813,0.056,0.216115,0.251,0.165,0.022,0.08272981,0.178,0.007,0.033
"2020-02-12 17:15:00",92,1.073122,1.227,0.984,0.069,0.2371386,0.294,0.183,0.034,0.07145039,0.16,0.002,0.03
"2020-02-12 17:16:00",93,1.389996,1.524,1.24,0.077,0.2632701,0.31,0.222,0.026,0.05853584,0.128,-0.016,0.027
"2020-02-12 17:17:00",94,1.69087,1.83,1.549,0.086,0.3021908,0.335,0.277,0.014,0.04232196,0.099,-0.01,0.025
"2020-02-12 17:18:00",95,1.95367,2.09,1.828,0.073,0.3001621,0.329,0.287,0.009,-0.003019787,0.049,-0.094,0.026
"2020-02-12 17:19:00",96,2.168345,2.242,2.102,0.04,0.3345259,0.365,0.306,0.017,-0.01306259,0.061,-0.074,0.022
"2020-02-12 17:20:00",97,2.305473,2.356,2.234,0.031,0.3527748,0.394,0.32,0.02,-0.0314384,0.045,-0.093,0.022
"2020-02-12 17:21:00",98,2.375421,2.423,2.339,0.021,0.3725449,0.402,0.335,0.017,-0.03786705,0.031,-0.108,0.027
"2020-03-03 15:13:00",99,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-03-03 15:14:00",100,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-03-03 15:15:00",101,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-03-03 15:16:00",102,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
