"TIMESTAMP","RECORD","Global_Horizontal_Irradiance_Avg","Global_Horizontal_Irradiance_Max","Global_Horizontal_Irradiance_Min","Global_Horizontal_Irradiance_Std","Global_Normal_Irradiance_Avg","Global_Normal_Irradiance_Max","Global_Normal_Irradiance_Min","Global_Normal_Irradiance_Std","Direct_Normal_Irradiance_Avg","Direct_Normal_Irradiance_Max","Direct_Normal_Irradiance_Min","Direct_Normal_Irradiance_Std"
"2020-04-05 23:55:00",1948,-0.06912589,0.355,-0.422,0.221,0.5225041,0.725,0.212,0.113,-0.09486954,0.051,-0.219,0.064
"2020-04-06 00:00:00",1949,0.09929983,0.985,-0.442,0.383,0.2706524,0.67,-0.119,0.195,-0.0138569,0.129,-0.166,0.068
"2020-04-06 00:05:00",1950,-0.2522821,1.003,-0.604,0.377,-0.2315429,0.499,-0.698,0.256,0.07481702,0.216,-0.136,0.069
"2020-04-06 00:10:00",1951,0.05181415,0.806,-0.539,0.423,0.1367785,0.713,-0.379,0.364,0.05678258,0.269,-0.17,0.124
"2020-04-06 00:15:00",1952,0.07477571,0.453,-0.917,0.446,0.371358,0.86,-0.397,0.362,0.006589362,0.267,-0.168,0.117
"2020-04-06 00:20:00",1953,0.2370274,1.002,-0.755,0.52,0.3482021,0.731,-0.169,0.27,0.01210861,0.268,-0.198,0.132
"2020-04-06 00:25:00",1954,-0.169526,0.036,-0.598,0.153,0.3067579,0.424,0.219,0.044,-0.01711183,0.045,-0.091,0.025
"2020-04-06 00:30:00",1955,-0.3568096,-0.249,-0.528,0.059,0.00798671,0.418,-0.346,0.197,0.0772205,0.229,-0.113,0.087
"2020-04-06 00:35:00",1956,-0.1923284,0.134,-0.587,0.192,0.2639044,0.427,0.058,0.101,0.06676354,0.139,-0.042,0.034
"2020-04-06 00:40:00",1957,0.2711253,0.565,-0.088,0.156,0.3896843,0.725,0.127,0.138,-0.02537264,0.1,-0.139,0.051
"2020-04-06 00:45:00",1958,0.08336755,0.672,-0.477,0.359,-0.006732931,0.708,-0.398,0.301,0.0579316,0.16,-0.129,0.06
USR:Datatable5min982.dat"2020-04-06 01:00:00",1961,0.242158,0.428,-0.181,0.169,0.0419407,0.196,-0.185,0.106,0.1075585,0.236,-0.002,0.05
"2020-04-06 01:05:00",1962,0.2629742,0.408,0.085,0.075,-0.005558235,0.339,-0.298,0.158,0.06957488,0.201,-0.034,0.057
"2020-04-06 01:10:00",1963,0.1585392,0.482,-0.225,0.242,0.1414003,0.393,-0.063,0.096,0.05995422,0.135,-0.048,0.04
"2020-04-06 01:15:00",1964,-0.04702765,0.25,-0.236,0.157,0.1172243,0.212,-0.051,0.063,0.06174811,0.148,-0.043,0.036
"2020-04-06 01:20:00",1965,-0.1454265,0.007,-0.399,0.119,0.1239784,0.354,-0.087,0.093,0.08352615,0.189,-0.01,0.037
"2020-04-06 01:25:00",1966,-0.1364088,0.147,-0.29,0.097,-0.01464317,0.115,-0.152,0.058,0.1555078,0.243,0.065,0.035
"2020-04-06 01:30:00",1967,0.1451479,0.595,-0.155,0.221,-0.1587634,-0.027,-0.487,0.102,0.1839278,0.294,0.062,0.046
"2020-04-06 01:35:00",1968,0.3558459,0.632,0.064,0.177,-0.09036626,0.069,-0.304,0.107,0.1120512,0.237,0.01,0.052
"2020-04-06 01:40:00",1969,0.2206471,0.403,0.097,0.081,0.1181021,0.23,-0.028,0.055,0.01924777,0.089,-0.061,0.025
"2020-04-06 01:45:00",1970,0.1968286,0.4,0.03,0.092,0.1033049,0.229,-0.037,0.057,0.01107267,0.075,-0.042,0.024
"2020-04-06 01:50:00",1971,0.09702585,0.304,-0.146,0.133,0.1823479,0.303,0.04,0.065,-0.004146903,0.082,-0.089,0.03
"2020-04-06 01:55:00",1972,0.4299198,0.817,-0.017,0.235,0.200444,0.463,-0.074,0.154,-0.04998654,0.063,-0.154,0.044
"2020-04-06 02:00:00",1973,-0.1477681,-0.007,-0.225,0.032,-0.07257099,0.128,-0.21,0.063,0.07056334,0.136,0.008,0.02
"2020-04-06 02:05:00",1974,-0.323687,-0.042,-0.802,0.196,-0.1412651,0.127,-0.438,0.111,0.1669397,0.312,0.025,0.065
"2020-04-06 02:10:00",1975,-0.2023377,0.49,-0.498,0.207,-0.03784566,0.227,-0.214,0.103,0.1548331,0.234,0.013,0.044
"2020-04-06 02:15:00",1976,0.07029319,0.583,-0.637,0.35,0.07840441,0.303,-0.094,0.114,0.09698743,0.247,-0.049,0.062
